Isolate,Ampicillin,Cefazolin,Cefotetan,Ceftriaxone,Ceftazidime,Cefepime,Meropenem,Imipenem,Pipercillin-Tazobactam,Ceftolozane-Tazobactam,Ceftazidime-Avibactam,Ampicillin-Sulbactam,Ciprofloxacin,Levofloxacin,Gentamicin,Amikacin,Trimethoprim-sulfa,Fosfomycin,Aztreonam,Doxycycline,Minocycline,Tigecycline,Nitrofurantoin
DK-001-E1-DxU_E_coli,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive
DK-001-E1-S01_E_coli,Resistant,Intermediate,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive
DK-001-E1-S02_E_coli,Resistant,Intermediate,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive
DK-001-E1-S04_E_coli,Resistant,Intermediate,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive
DK-001-E1-S06_E_coli,Resistant,Intermediate,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive
DK-001-E1-S11_E_coli,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Resistant,Intermediate,Sensitive,Sensitive
DK-004-E1-DxU_E_coli,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Intermediate,Resistant,Resistant,Resistant,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
DK-004-E1-S01_E_coli,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
DK-004-E1-S02_E_coli,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Intermediate,Resistant,Resistant,Resistant,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
DK-004-E1-S04_E_coli,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
DK-004-E1-S06_E_coli_LF_dimpled,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
